titulo,artistas,album,url
La Mancornadora,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=ouPacPKFQjU
Albur de amor,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=HptYn5TR9c8
El siete de copas,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=n8i_w2NaYkM
Pa' todo el año,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=None
El Adolorido,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=HQw_KjedJ88
Preso me llevan,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=None
Yo ya me voy de mi tierra,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=gXbcoTpy8cc
El Revolucionario,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=None
M ranchito,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=None
Valentín de la sierra,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=_EpfIXMCYy4
El Norteño,Antonio Aguilar,El Patas Blancas,https://music.youtube.com/watch?v=TnpBKcHdrh0
Anillo Grabado,Antonio Aguilar,Anillo Grabado,https://music.youtube.com/watch?v=EoAwwMI0K5I
Échale Un Cinco Al Piano,"Antonio Aguilar, Flor Silvestre",Un Dueto Inolvidable,https://music.youtube.com/watch?v=QR2VFpUidng
Cruz De Olvido,"Flor Silvestre, Antonio Aguilar",Un Dueto Inolvidable,https://music.youtube.com/watch?v=57WsTeQnbB8
Te Parto El Alma (En Vivo),Flor Silvestre,Un Dueto Inolvidable,https://music.youtube.com/watch?v=Xw2G3mcLZsU
La Media Vuelta,"Antonio Aguilar, Flor Silvestre",Un Dueto Inolvidable,https://music.youtube.com/watch?v=3_U4MUgxImA
El Quelite,"Antonio Aguilar, Flor Silvestre",Un Dueto Inolvidable,https://music.youtube.com/watch?v=rb2t_QptyAM
Ambición,"Flor Silvestre, Antonio Aguilar",Un Dueto Inolvidable,https://music.youtube.com/watch?v=UKqBHEYSKls
Heraclio Bernal,"Flor Silvestre, Antonio Aguilar",Un Dueto Inolvidable,https://music.youtube.com/watch?v=Z6TpMzpYWhk
titulo,artistas,album,url
Soy Sierreño,"El As De La Sierra, El Halcon De La Sierra Jr",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=H3iw5rd6rXs
Si Yo Fuera Dios,El As De La Sierra & Hugo Y Su Grupo Conectado,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=RKJT6Jkydsg
LA Frontera,"El As De La Sierra, El Tacuache Y Su Banda Cerro Azul",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=cogUtiCWa3I
Un Tecaton,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=pHtvibButMo
Caminos de Michoacán,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=wQ-IxhEr5Jk
Mis Dos Vicios,"El As De La Sierra, Aldo ""El Fuereno"", Miguel Y Miguel",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=XTPpyummPGQ
Buscado En Chicago,El As De La Sierra & Montez de Durango,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=VCFQBgbqOd8
Todo Esfuerzo Tiene Recompensa (Esfuerzo y Recompensa),"El As De La Sierra, El Blanco de Sinaloa",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=XeP72RsMUM8
Pa' Los Coyotes Los Perros (feat. Banda Titanes Sinaloenses),El As De La Sierra & Nachito Hernandez Jr.,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=Z2X3n4QSWlg
El Avión,"El As De La Sierra, Saul El Jaguar Alarcón",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=Y5G9mQl6_oU
El Tremendo,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=IyXpgBlga5Q
Unas Frias Y Unas Rolas,"El As De La Sierra, El Lobo De Durango",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=i9eRC2qE0p4
Narco Cumpleaños,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=9IRkrpa6JpM
Pacífico Triste (feat. Banda Titanes Sinaloenses),El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=-EfxFz_3QPU
La Mafia Muere,"El As De La Sierra, El Lobo De Durango, Banda Titanes Sinaloenses",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=4N8qI-HNVSQ
Sangre De Indio,"El As De La Sierra, Banda Titanes Sinaloenses",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=xpnsSN6HnOg
Juan Ramos,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=sNJsUy9_k14
Modesta Ayala,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=pwR24q_vc5g
El Corrido Del Compa Jorge (feat. Banda Titanes Sinaloenses),El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=TYraYQCzSsE
El Capo De Capos [Pacífico Triste] (feat. Banda Titanes Sinaloenses),El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=t3ma7QpM7Nw
El Aguacate,"El As De La Sierra, Banda Titanes Sinaloenses",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=tIyb1KWB2sQ
Gilberto Tapia,El As De La Sierra,Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=8deUkwbAQ90
A Cada Rato,"El As De La Sierra, Banda El Padrino",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=ILawkxNr9hs
Dando Y Dando,"El As De La Sierra, Edgar Aguilar ""El Narquillo""",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=kJshA0kF1W4
La Zopilota,"El As De La Sierra, Leonel El Ranchero",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=N52kwpegrGo
Ojitos De Capulín,"El As De La Sierra, El Chalinillo",Unas Frias Y Unas Rolas,https://music.youtube.com/watch?v=E9DKlLyuLeA
Mi Linda Güerita,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=PBJUUstVqag
El Muchacho Alegre,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=7D6Nz5jOS7Y
Catarino y Los Rurales,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=uAv1b1JabKI
Entre Perico y Perico,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=NN6lOVpRRyo
Patron De Patrones,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=4sh_kpliJUs
De Esta Sierra a la Otra Sierra,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=3CRpy2FGJtw
Dicen Que Soy Traficante,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=MIR1tDt12vc
Alegre y Mujeriego,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=fHEvmyrg_Ps
La Loba del Mal,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=X_6WXoBGvmc
Mi Clavo,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=EWWMaKFlBLI
Regalo Caro,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=WC_d-OhohF8
Ya Después De Muerto,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=Fq7j9Y61nGk
El Ramalazo,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=IlQKDYwkQNo
Los Barandales,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=pbIUULhVcRE
707 Kilos,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=BPVKtEYM2Pg
Recordando A Maria,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=ck59SoUdJAg
Soy Malandrin,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=6ONBBhiLwLo
Los 3 De Zacatecas,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=zYQ9YNHd8ww
El Garbanzero,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=eizhUMk53yo
El Rayo de Sinaloa,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=BiOXYHB_E_4
El Periquero,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=9S0c-Bkt9q4
La Ram Colorada,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=m_NjjO95jwY
Vida Prestada,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=it7ajA0oTY8
Pobres Federales,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=qulfLGIY4dI
La Pasadita,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=u6niqvgeV9k
Claveles De Enero,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=UU5bskzO4tI
Somos Polvo Y Nomas,El As De La Sierra,27 Aniversario,https://music.youtube.com/watch?v=4v2cWomt-n0
Sierra De Badiraguato,El As De La Sierra,Corridos Canciones y Mis Lindas Güeritas,https://music.youtube.com/watch?v=bSRzeSOU-ZU
